index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
PF01061.25,0.013017443374121324,0.01509433962264151,0.02324770428920144
PF12679.8,0.0650872168706066,0.1509433962264151,0.1162385214460072
PF12698.8,0.0650872168706066,0.10566037735849057,0.09299081715680577
PF12730.8,0.03905233012236397,0.07547169811320754,0.06974311286760432
PF13346.7,0.02603488674824265,0.045283018867924525,0.01162385214460072
PF00664.24,0.09112210361884926,0.09056603773584905,0.09299081715680577
PF00005.28,0.6118198385837021,0.5735849056603773,0.6393118679530396
PF09822.10,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF16326.6,0.02603488674824265,0.01509433962264151,0.01162385214460072
PF12848.8,0.0650872168706066,0.07547169811320754,0.0581192607230036
PF00561.21,0.48164540484248897,0.3018867924528302,0.4300825293502267
PF02230.17,0.0650872168706066,0.06037735849056604,0.03487155643380216
PF07859.14,0.03905233012236397,0.06037735849056604,0.03487155643380216
PF12697.8,0.2343139807341838,0.24150943396226415,0.25572474718121585
PF08843.12,0.0,0.01509433962264151,0.0
PF07751.12,0.0,0.01509433962264151,0.0
PF03992.17,0.013017443374121324,0.03018867924528302,0.03487155643380216
PF16177.6,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00887.20,0.013017443374121324,0.01509433962264151,0.0
PF03255.15,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00871.18,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00583.26,0.3384535277271544,0.4226415094339623,0.5811926072300361
PF13673.8,0.22129653736006247,0.3169811320754717,0.4649540857840288
PF13720.7,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00797.18,0.0,0.03018867924528302,0.01162385214460072
PF13302.8,0.1692267638635772,0.21132075471698114,0.25572474718121585
PF13420.8,0.1171569903670919,0.1660377358490566,0.16273393002441008
PF13444.7,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF13480.8,0.03905233012236397,0.045283018867924525,0.03487155643380216
PF13508.8,0.2603488674824264,0.3320754716981132,0.4649540857840288
PF13523.7,0.0520697734964853,0.03018867924528302,0.03487155643380216
PF13527.8,0.0,0.045283018867924525,0.0581192607230036
PF14542.7,0.0520697734964853,0.045283018867924525,0.0581192607230036
PF03767.15,0.0,0.01509433962264151,0.0
PF12689.8,0.0,0.01509433962264151,0.01162385214460072
PF00330.21,0.0520697734964853,0.045283018867924525,0.02324770428920144
PF06434.14,0.013017443374121324,0.01509433962264151,0.0
PF11791.9,0.013017443374121324,0.01509433962264151,0.0
PF00694.20,0.03905233012236397,0.03018867924528302,0.02324770428920144
PF01648.21,0.03905233012236397,0.045283018867924525,0.03487155643380216
PF04336.13,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF08545.11,0.07810466024472794,0.045283018867924525,0.0581192607230036
PF08541.11,0.0650872168706066,0.06037735849056604,0.0581192607230036
PF00873.20,0.07810466024472794,0.10566037735849057,0.08136696501220504
PF01842.26,0.02603488674824265,0.06037735849056604,0.04649540857840288
PF00022.20,0.02603488674824265,0.03018867924528302,0.02324770428920144
PF10000.10,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF13291.7,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF13840.7,0.02603488674824265,0.045283018867924525,0.03487155643380216
PF01643.18,0.03905233012236397,0.06037735849056604,0.04649540857840288
PF00441.25,0.09112210361884926,0.07547169811320754,0.04649540857840288
