index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
K03719,0.042560435818862784,0.03917344040740378,0.06892326543115332
K00297,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00548,0.017024174327545112,0.01958672020370189,0.015316281206922957
K04755,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00384,0.008512087163772556,0.009793360101850945,0.015316281206922957
K02302,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02303,0.008512087163772556,0.01958672020370189,0.015316281206922957
K02045,0.008512087163772556,0.009793360101850945,0.007658140603461479
K10778,0.008512087163772556,0.01958672020370189,0.007658140603461479
K03576,0.0,0.029380080305552836,0.015316281206922957
K03650,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03320,0.008512087163772556,0.009793360101850945,0.007658140603461479
K04751,0.008512087163772556,0.009793360101850945,0.015316281206922957
K00284,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00266,0.008512087163772556,0.009793360101850945,0.007658140603461479
K09761,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01409,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00850,0.017024174327545112,0.01958672020370189,0.015316281206922957
K01821,0.0,0.009793360101850945,0.007658140603461479
K00824,0.0,0.009793360101850945,0.0
K07735,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03530,0.017024174327545112,0.01958672020370189,0.015316281206922957
K00604,0.008512087163772556,0.009793360101850945,0.007658140603461479
K07302,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00087,0.008512087163772556,0.009793360101850945,0.007658140603461479
K19190,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00790,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03696,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02469,0.008512087163772556,0.009793360101850945,0.007658140603461479
K15657,0.0,0.009793360101850945,0.0
K06158,0.017024174327545112,0.009793360101850945,0.015316281206922957
K06168,0.008512087163772556,0.009793360101850945,0.007658140603461479
K04078,0.0,0.009793360101850945,0.007658140603461479
K01638,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01637,0.008512087163772556,0.009793360101850945,0.007658140603461479
K08968,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01784,0.017024174327545112,0.009793360101850945,0.007658140603461479
K03525,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01466,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00721,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01610,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03718,0.02553626149131767,0.029380080305552836,0.02297442181038444
K00259,0.008512087163772556,0.01958672020370189,0.007658140603461479
K15383,0.0,0.009793360101850945,0.0
K01869,0.008512087163772556,0.009793360101850945,0.0
K13292,0.017024174327545112,0.01958672020370189,0.015316281206922957
K06153,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03177,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01246,0.008512087163772556,0.01958672020370189,0.007658140603461479
K00761,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00684,0.008512087163772556,0.009793360101850945,0.007658140603461479
